Var1,Freq,is_na
?,1,T
??,1,T
100,65,F
101,24,F
102,460,F
103,7,F
104,63,F
105,35,F
106,39,F
107,5,F
108,583,F
109,26,F
110,76,F
111,34,F
112,15,F
113,3,F
114,289,F
115,53,F
116,6,F
117,52,F
118,14,F
119,33,F
12,1,F
120,540,F
121,21,F
122,31,F
123,13,F
124,34,F
125,33,F
126,156,F
127,25,F
128,26,F
129,12,F
130,156,F
131,11,F
132,243,F
133,59,F
134,23,F
135,65,F
136,41,F
137,13,F
138,117,F
139,8,F
14,2,F
140,168,F
141,15,F
142,34,F
143,27,F
144,199,F
145,74,F
146,27,F
147,13,F
148,38,F
149,12,F
15,681,F
150,300,F
151,3,F
152,23,F
153,22,F
154,30,F
155,58,F
156,102,F
157,14,F
158,9,F
159,5,F
16,1,F
160,194,F
161,18,F
162,99,F
163,9,F
164,23,F
165,98,F
166,40,F
167,8,F
168,38,F
169,9,F
17,1,F
170,136,F
171,16,F
172,24,F
172.5,1,F
173,9,F
174,17,F
175,102,F
176,29,F
177,18,F
178,22,F
179,6,F
18,82,F
180,238,F
181,8,F
182,12,F
183,6,F
184,18,F
185,124,F
186,23,F
187,11,F
188,11,F
189,3,F
190,109,F
191,12,F
192,19,F
193,5,F
194,10,F
195,88,F
196,18,F
197,9,F
198,8,F
199,6,F
20,121,F
200,155,F
201,9,F
202,9,F
203,7,F
204,13,F
205,73,F
206,12,F
207,12,F
208,8,F
209,6,F
21,287,F
210,104,F
211,7,F
212,17,F
213,11,F
214,4,F
215,49,F
216,19,F
217,9,F
218,4,F
219,5,F
22,5,F
220,153,F
221,12,F
222,4,F
223,4,F
224,8,F
225,71,F
226,18,F
227,4,F
228,11,F
229,5,F
23,8,F
230,96,F
231,8,F
232,8,F
233,6,F
234,9,F
235,44,F
236,28,F
237,3,F
238,1,F
239,12,F
24,120,F
240,85,F
241,9,F
242,10,F
243,4,F
244,6,F
245,71,F
246,10,F
247,4,F
248,8,F
249,3,F
25,79,F
250,127,F
251,11,F
252,11,F
253,9,F
254,2,F
255,51,F
256,10,F
257,5,F
258,2,F
26,30,F
260,109,F
261,11,F
262,3,F
263,9,F
264,5,F
265,56,F
266,20,F
267,3,F
268,3,F
269,3,F
27,263,F
270,119,F
271,12,F
272,8,F
273,3,F
274,3,F
275,50,F
276,19,F
277,2,F
278,3,F
279,2,F
28,9,F
280,121,F
281,7,F
282,9,F
283,7,F
284,3,F
285,31,F
286,10,F
287,3,F
288,1,F
290,71,F
291,2,F
292,5,F
293,3,F
294,1,F
295,26,F
296,20,F
297,3,F
298,3,F
299,8,F
30,506,F
300,174,F
301,7,F
302,2,F
303,6,F
304,2,F
305,13,F
306,12,F
307,6,F
309,5,F
31,26,F
310,44,F
311,2,F
312,16,F
313,1,F
314,3,F
315,9,F
316,9,F
317,2,F
318,2,F
319,3,F
32,2,F
320,36,F
321,2,F
322,2,F
323,1,F
325,12,F
326,4,F
327,1,F
328,7,F
329,1,F
33,72,F
330,105,F
331,6,F
332,1,F
333,4,F
334,1,F
335,11,F
336,6,F
337,2,F
338,2,F
339,1,F
340,30,F
341,29,F
342,2,F
343,1,F
344,3,F
345,19,F
346,26,F
347,3,F
35,23,F
350,52,F
351,5,F
353,1,F
355,2,F
356,1,F
357,1,F
358,1,F
36,1036,F
360,63,F
361,3,F
362,1,F
364,1,F
365,5,F
366,3,F
367,1,F
368,2,F
37,5,F
370,16,F
372,1,F
373,1,F
375,11,F
376,7,F
378,3,F
38,3,F
380,17,F
382,1,F
384,3,F
385,6,F
386,6,F
389,1,F
39,121,F
390,8,F
391,3,F
392,1,F
393,1,F
394,1,F
395,8,F
396,5,F
399,1,F
40,59,F
400,15,F
405,1,F
407,1,F
41,12,F
410,5,F
415,1,F
416,4,F
42,400,F
420,8,F
422,1,F
425,5,F
427,1,F
43,9,F
430,1,F
432,1,F
436,4,F
44,5,F
440,4,F
441,3,F
445,1,F
