"","Var1","Freq"
"1"," Invoices Apprentice",1
"2","[illegible]",1
"3","[Illegible]",1
"4","A",2
"5","Ad",1
"6","Apprentice",2
"7","Apprentice Sales",1
"8","Assistant",1
"9","Bookeeper",5
"10","Bookeeper?Head Clerk",1
"11","Boy",60
"12","C dept",2
"13","cash",7
"14","Cash",1
"15","Cash Desk",10
"16","Cash Desk ",1
"17","check 03-5-not in book 12",1
"18","Chief of Stocks and ???",1
"19","Clerk",17
"20","Clerk/typist",1
"21","Clerks",1
"22","Collections",2
"23","Correspondence",10
"24","Credit",1
"25","D dept",1
"26","dissections",4
"27","Dissections",45
"28","dissections; typist",1
"29","E Dept",1
"30","ex russia",1
"31","exMexico",1
"32","female clerk",1
"33","female Clerk",3
"34","Female Clerk",193
"35","Female Clerk/Typist",1
"36","General",18
"37","Invoices",3
"38","Invoices&Shipping",1
"39","Invoicing&Shipping",4
"40","ledger",3
"41","Ledger",107
"42","Ledger's Assistant",1
"43","Ledger ",1
"44","Machine room",1
"45","Office",1
"46","Order Clerk",28
"47","Ordering",1
"48","Orders",1
"49","Packer",50
"50","Porter",14
"51","Sales Clerk",7
"52","Sales Dissections",5
"53","Stationery",4
"54","Statistics",48
"55","Statistics/Head Clerk",1
"56","Stock",1
"57","Stocks",80
"58","Telephone",2
"59","typist",1
"60","Typist",57
"61","Unknown",56
"62","Warehouse",233
"63","Warehouseman",1
