"","year","int","int.se","slope","slope.se","rsq","n","lambda","corrected.slope"
"1",1901,82.9787234042551,NA,-3.19148936170211,NA,1,2,2,-6.38297872340423
"2",1902,44.6333687566418,NA,6.29884608973946e-15,NA,NA,2,2,1.25976921794789e-14
"3",1903,50.9013785790031,NA,6.09885107230267e-15,NA,NA,2,2,1.21977021446053e-14
"4",1904,57.3248407643312,NA,1.91858951768733e-15,NA,NA,2,2,3.83717903537466e-15
"5",1905,145.683844313982,53.4447844315689,-4.43574690150034,0.204247583814913,0.98972602739726,3,1.01038062283737,-4.48179271708685
"6",1906,175.396825396825,NA,-5.55555555555555,NA,1,2,1.00787401574803,-5.59930008748906
"7",1907,112.852664576802,NA,NA,NA,0,1,NA,NA
"8",1908,112.5,NA,NA,NA,0,1,NA,NA
"9",1909,111.801242236025,NA,NA,NA,0,1,NA,NA
"10",1910,6.16016427104726,619.811189489351,7.80287474332649,4.72237096753791,0.865707434052758,4,1.04166666666667,8.12799452429842
"11",1911,-29.579260518487,290.667556535744,9.79175520611985,2.55672397172727,0.72815806723476,16,1.12422360248447,11.0081223124701
"12",1912,-20.8827610904695,233.404020608905,8.32624557947983,1.92514038773429,0.610242621222022,25,1.13686131386861,9.46578648908017
"13",1913,0.87003058103975,187.03730421442,6.24847094801223,1.47069110621885,0.453436622610267,34,1.12010276172126,6.99892956540355
"14",1914,3.19994466157095,205.301137419678,5.69224916127693,1.38603468388899,0.429908807816473,33,1.10015174506829,6.2623378481423
"15",1915,25.1304553786074,95.4441987951173,3.10014632129449,0.655973874880531,0.278271209017958,40,1.09933774834437,3.40810787638997
"16",1916,36.9364545712032,42.5023567868013,2.15079297769485,0.283517805844059,0.23203953380399,56,1.0698666182742,2.3010616096543
"17",1917,46.3596106279422,34.9206305243146,0.916829569935371,0.202539657041025,0.0689969998466589,58,1.06046307472841,0.97226390473559
"18",1918,46.1369262324068,34.039638595061,0.593944251911577,0.171484325415925,0.039517231526252,52,1.05569088618228,0.627021533643401
"19",1919,52.8405622637432,27.6225831260725,0.650808627990679,0.118576683925136,0.0839041800123676,41,1.05112219451372,0.684079393262023
"20",1920,54.7464329923272,36.820832560027,0.35702813936345,0.143601246984105,0.0234287381147701,39,1.04808253844656,0.374194958600899
"21",1921,53.2661832476317,29.9176748516643,1.08458806745286,0.124139729674956,0.187730605815936,43,1.0279869827987,1.11494241504034
"22",1922,52.605056052085,45.3766516021863,1.84505682415768,0.191305709998678,0.343562640676717,36,1.02573529411765,1.89253990419115
"23",1923,47.9815578790581,48.4091181295699,2.3474507344511,0.21181396158523,0.456291751500565,33,1.02519564802443,2.40659627691102
"24",1924,51.3688996582523,16.6428689406085,2.3658090667481,0.0783141184352376,0.68411762280869,35,1.0212249848393,2.4160233283225
"25",1925,59.2016071675614,16.2852399836384,2.031623189872,0.105469292290294,0.42941504903785,54,1.02646422428939,2.08538852164029
"26",1926,73.9301804197173,32.8561026127062,1.05379550730371,0.242301641686624,0.0631423884417369,70,1.07180447774507,1.12946274335576
"27",1927,65.6399783889883,48.1211328681716,1.9262053343511,0.339435087758285,0.120209236783003,82,1.08153895258906,2.08326609978556
"28",1928,53.4650256272347,50.4539180190795,2.92963530118455,0.338442174534589,0.221753233689132,91,1.07624420488186,3.1530030153172
"29",1929,42.7317914629414,51.1472182611583,3.61203275793055,0.307226680562873,0.298079620184237,102,1.08130376450162,3.90570461865347
"30",1930,39.7891224375368,58.3970817602602,4.09355925404228,0.315494864860241,0.36855590904441,93,1.0814950280032,4.42716398008321
