"","year","int","int.se","slope","slope.se","rsq","n","lambda","corrected.slope"
"1",1889,NA,NA,NA,NA,NA,NA,NA,NA
"2",1890,NA,NA,NA,NA,NA,NA,NA,NA
"3",1891,87.3460246360582,1.3514637801694e-29,NA,NA,0,2,0,NA
"4",1892,87.1508379888268,5.74253416913354e-29,NA,NA,0,2,0,NA
"5",1893,256.179775280899,1.73445135921605e-29,-13.4831460674157,1.30409876632786e-31,1,4,1.33333333333333,-17.9775280898876
"6",1894,297.619047619048,1327.57184506457,-15.3061224489796,8.67694016382071,0.964285714285714,3,1.23076923076923,-18.8383045525903
"7",1895,8.15494393476044,4782.12614229854,7.64525993883792,36.4738434582092,0.1862847828618,9,1.09090909090909,8.34028356964137
"8",1896,39.7285821991191,2804.89368630845,5.26169596444585,19.8811129567049,0.122233391590161,12,1.08208955223881,5.69362623018395
"9",1897,44.7543376033728,3670.79452719269,4.86460191341009,21.9092456859032,0.1071524243236,11,1.07544581618656,5.23161577519
"10",1898,50.7464497643614,1843.20945935594,4.77344251514819,11.2080177185823,0.184264418739762,11,1.04995458673933,5.01189786331636
"11",1899,87.317899375613,550.139844872769,2.2120519809248,4.38045201103267,0.0293057252471801,39,1.0644179779188,2.35454789658726
"12",1900,84.3396649809054,413.204270536203,2.29021829016427,3.07751347775131,0.0267537607250209,64,1.05759012740673,2.42211225328405
"13",1901,66.1545163714725,593.304302717401,3.936735549008,3.94353142384448,0.0634580085654942,60,1.05857048312376,4.16731205204388
"14",1902,67.243794515225,799.215551388887,3.9211304393996,4.78799731242867,0.0500101121922708,63,1.0646025602858,4.17444550499939
"15",1903,56.3565880292198,950.212536452706,4.59766718818418,5.28302239923239,0.0597186371605138,65,1.07372749184744,4.93664165831827
"16",1904,27.3923371097774,654.741420578515,6.50594027365671,3.4184039266365,0.14849901452263,73,1.05623074289627,6.87177412848318
"17",1905,13.9886361612901,706.886771045834,7.25116601300369,3.38816990105004,0.183610956592841,71,1.05110750056558,7.62175498411436
"18",1906,13.10819335769,679.888771382265,7.33830344940003,3.19446564470915,0.181541589892126,78,1.04087326972547,7.6382439056147
"19",1907,33.5276964530227,259.695419737189,5.84809403875617,1.26315773672698,0.211400585271109,103,1.02503777353041,5.99451729288307
"20",1908,45.7519828905015,251.734553814156,5.05109868295884,1.21320273276428,0.150181825880711,121,1.02159840064736,5.16019433602272
"21",1909,56.5227015908077,327.766889917053,4.25422862482703,1.62942820494761,0.0932541645084547,110,1.02689703751228,4.36865477173483
"22",1910,107.150062058818,336.618899212452,0.46495357176776,1.87871117743168,0.00102634924695834,114,1.03687841745155,0.482100323682999
"23",1911,118.034541936649,734.169145213812,-0.240896651501683,3.97043293871776,0.000135313502647555,110,1.04856099082242,-0.252594831584407
"24",1912,109.518085795884,791.923263830904,0.278862428247091,3.9493703112715,0.000189293889964823,106,1.04891318678421,0.29250247828704
"25",1913,93.0566789353203,555.837962682694,1.47276583329593,2.60531345867169,0.00731376453768095,115,1.03818216767534,1.52899922528935
"26",1914,67.3547797088632,338.173592299287,3.23268570777054,1.53205045403373,0.0644587174693962,101,1.03903532503672,3.35887464511491
"27",1915,68.8225840785019,285.495615012705,2.20311367275514,1.22703981579234,0.041223486147679,94,1.03481897478791,2.2798238321817
"28",1916,64.0762016112585,171.111626931203,2.22490572643285,0.756919564093139,0.065701629361381,95,1.02503602608457,2.28060852423552
"29",1917,52.4484616998565,287.912698117034,2.53382667571264,1.23958376585874,0.0770977892419925,64,1.02629999739087,2.60046631067281
"30",1918,68.0371656961296,250.516044365572,1.31758098530489,1.07912984019631,0.0396151784062641,41,1.03195137157107,1.35967950494135
"31",1919,44.1416782083974,51.0209113926944,2.64492021854295,0.251498884185104,0.224653700157903,98,1.02694673583355,2.71619218497283
"32",1920,37.9538479389258,93.7988243537557,3.68853188938656,0.4782096196474,0.232342402507853,96,1.03339387193157,3.81170625091626
"33",1921,41.0412901758019,134.554325760277,4.63864499642908,0.673402944061442,0.253687960199478,96,1.0324361235987,4.78910465886375
"34",1922,58.0767513946161,129.493310289088,3.9700473760613,0.622631259628785,0.225385843666067,89,1.03709176327953,4.11730343354269
"35",1923,67.5176517302877,189.618561767718,3.75532226698624,0.876611656232012,0.148837345731104,94,1.03229763180256,3.87661028286533
"36",1924,63.4167827806743,180.954370672218,4.12420713701318,0.819715366415794,0.185682243556075,93,1.03126507344881,4.25315077606998
"37",1925,57.4568369656779,212.837171567268,4.84080999257689,0.977797452874846,0.196494336647501,100,1.02690919370271,4.97107228634513
"38",1926,47.3292723579058,325.59794542849,5.66717828156131,1.49459300650444,0.201793487336827,87,1.03606026430699,5.87153822826924
"39",1927,42.7155607567872,316.124255474404,6.12088855342797,1.40361040911181,0.232728166240016,90,1.03127855486048,6.31234110184123
"40",1928,27.0580366778805,461.747214995092,7.284057983772,2.02192260863891,0.24934279622912,81,1.03439344401512,7.53458182423972
"41",1929,33.0359384659236,679.20400102638,7.06044076986988,2.9587601919539,0.179526205113236,79,1.03363867628915,7.29794465138629
"42",1930,33.6596398458939,270.401133044586,7.03065782365783,1.2164074270418,0.348401148561527,78,1.02800287208944,7.22753643539838
