"","year","int","int.se","slope","slope.se","rsq","n","lambda","corrected.slope"
"1",1889,NA,NA,NA,NA,NA,NA,NA,NA
"2",1890,NA,NA,NA,NA,NA,NA,NA,NA
"3",1891,NA,NA,NA,NA,NA,NA,NA,NA
"4",1892,NA,NA,NA,NA,NA,NA,NA,NA
"5",1893,NA,NA,NA,NA,NA,NA,NA,NA
"6",1894,NA,NA,NA,NA,NA,NA,NA,NA
"7",1895,NA,NA,NA,NA,NA,NA,NA,NA
"8",1896,NA,NA,NA,NA,NA,NA,NA,NA
"9",1897,NA,NA,NA,NA,NA,NA,NA,NA
"10",1898,NA,NA,NA,NA,NA,NA,NA,NA
"11",1899,NA,NA,NA,NA,NA,NA,NA,NA
"12",1900,NA,NA,NA,NA,NA,NA,NA,NA
"13",1901,NA,NA,NA,NA,NA,NA,NA,NA
"14",1902,153.028692879915,NA,NA,NA,0,1,NA,NA
"15",1903,-598.091198303284,1468920.40362149,36.0551431601271,3580.54942991222,0.153641679957468,4,Inf,Inf
"16",1904,-200.106157112526,708622.814312954,15.9235668789809,1605.03468700556,0.0732064421669107,4,1.6,25.4777070063694
"17",1905,25.974025974026,93287.6186219138,5.0986050986051,204.428674847145,0.0308112495612496,6,1.20547945205479,6.14626368051026
"18",1906,100.0407000407,38501.0600255673,1.54660154660156,85.2421993185993,0.00399270032627339,9,1.2093023255814,1.87030884705305
"19",1907,46.7808054014965,47821.2116579694,4.0390643838919,96.586827854965,0.0235608414511248,9,1.2093023255814,4.88444995261346
"20",1908,61.9426751592356,17693.8680885184,3.46337579617835,34.3570254145988,0.0373432928604204,11,1.09598603839442,3.79581151832461
"21",1909,45.3401708661177,5900.23278906393,4.49367419914404,12.8288241195511,0.0640530356314883,25,1.06996268656716,4.8080637186737
"22",1910,122.66965590609,8887.02795384819,1.17809856491369,19.3986967614694,0.00187927430922682,40,1.07798440311938,1.26997187831427
"23",1911,113.132073499046,7245.57092108781,1.57244047152303,14.8896783389938,0.0036766383296688,47,1.07396510434485,1.6887461950753
"24",1912,79.1807768924303,6018.08680251913,2.79506972111554,11.4919164423295,0.0139650946407552,50,1.06815020862309,2.98555430572563
"25",1913,95.1986703167775,4650.52990281955,1.88150175987485,8.41842076678328,0.0083401022592387,52,1.06931521170936,2.01191845269211
"26",1914,75.0300063370026,3129.71721543034,2.66909515156348,5.50556524672045,0.0234017523861072,56,1.04196185286104,2.78109532958549
"27",1915,72.0836545702337,1923.62294113515,2.0572783178648,3.19671448464504,0.022317829266473,60,1.03533498363012,2.12997221354915
"28",1916,73.4056186538027,1387.12215341327,1.77977893025538,2.17093458315342,0.0237410094665786,62,1.03056359198979,1.83417536731172
"29",1917,69.8729026189127,572.75137446214,1.26363227114969,0.870944190827852,0.0278487031711118,66,1.02094869766488,1.29010372155759
"30",1918,80.3570164116408,491.267565361669,0.588086534703543,0.710599032427922,0.00710643263735071,70,1.01632363378282,0.597686243928654
"31",1919,64.1668373689513,226.97342975767,1.30764006547068,0.330907935563245,0.0554632655185631,90,1.01491136950039,1.32713876966042
"32",1920,68.014956050946,236.089303700814,1.68419740180754,0.334211081379657,0.0775178531583627,103,1.01122351960858,1.70310002437144
"33",1921,84.974890082533,276.138176870077,1.8529454250486,0.372961865707736,0.0806069937550439,107,1.01044681262607,1.87230279871042
"34",1922,101.348551190158,328.634733805513,1.78165404663449,0.432721891487686,0.0630558108176282,111,1.00959267656889,1.7987448776615
"35",1923,106.326848596947,410.381891224839,1.93115522073086,0.510818815496539,0.0617134721080547,113,1.00916309969939,1.94885058855341
"36",1924,105.01092406389,392.916928575094,2.12636074911805,0.470444604702611,0.0765134829127794,118,1.00828062228823,2.14396833933001
"37",1925,109.733754337085,379.402619482414,2.10711115555168,0.44783922748011,0.0781165272707886,119,1.00773467029329,2.12340896561119
"38",1926,104.284876319652,291.543059687943,2.31975135310565,0.342482079959493,0.107832144094306,132,1.00662126893104,2.33511105066771
"39",1927,107.927427435698,337.682267973784,2.44545463485236,0.387361362745952,0.106150920906437,132,1.00653684707135,2.4614401978203
"40",1928,98.1115970333171,351.950503863392,2.84795089804254,0.406023246856519,0.129735950928092,136,1.00620204897322,2.86561402898552
"41",1929,99.5343534702394,435.985496026846,2.87593304195414,0.510361990362856,0.111607730959971,131,1.00691363036639,2.89581617996469
"42",1930,133.046025568462,125.463287458282,1.6881982934134,0.146583897192178,0.14461816104112,117,1.00655645839171,1.69926689528111
