"","period","tenureband","slope","se","coef.nms"
"1","1889 - 1900","0 - 9",120.402625195388,9.06626279332,"(Intercept) NA NA NA"
"2","1889 - 1900","10 - 19",198.998347582516,9.85219728039755,"(Intercept) tenureband110 - 19 NA NA"
"3","1889 - 1900","20 plus",321.961348389722,12.9761340554914,"(Intercept) tenureband120 plus NA NA"
"4","1901 - 1913","0 - 9",22.7586503342594,8.77585959618361,"(Intercept) NA NA periodx1901 - 1913"
"5","1901 - 1913","10 - 19",56.8890966825065,14.0011145070934,"(Intercept) tenureband110 - 19 tenureband110 - 19:periodx1901 - 1913 periodx1901 - 1913"
"6","1901 - 1913","20 plus",56.133249377606,45.9012394549825,"(Intercept) tenureband120 plus tenureband120 plus:periodx1901 - 1913 periodx1901 - 1913"
"7","1914 - 1918","0 - 9",45.4839453622818,13.7591562846604,"(Intercept) NA NA periodx1914 - 1918"
"8","1914 - 1918","10 - 19",47.7269251672189,15.4015647095016,"(Intercept) tenureband110 - 19 tenureband110 - 19:periodx1914 - 1918 periodx1914 - 1918"
"9","1914 - 1918","20 plus",95.6135752971499,38.1726247590209,"(Intercept) tenureband120 plus tenureband120 plus:periodx1914 - 1918 periodx1914 - 1918"
"10","1919 - 1930","0 - 9",120.402625195388,9.06626279332,"(Intercept) NA NA NA"
"11","1919 - 1930","10 - 19",198.998347582516,9.85219728039755,"(Intercept) tenureband110 - 19 NA NA"
"12","1919 - 1930","20 plus",321.961348389722,12.9761340554914,"(Intercept) tenureband120 plus NA NA"
