"","period","tenureband","slope","se","coef.nms"
"1","1889 - 1900","0 - 9",23.9876098791975,11.8160843777162,"(Intercept) NA NA periodx1889 - 1900"
"2","1889 - 1900","10 - 19",22.8997788514944,28.2397474849927,"(Intercept) tenureband110 - 19 tenureband110 - 19:periodx1889 - 1900 periodx1889 - 1900"
"3","1889 - 1900","20 plus",255.449557813128,15.2120407220845,"(Intercept) tenureband120 plus NA periodx1889 - 1900"
"4","1901 - 1913","0 - 9",19.5453196697222,11.2973878049316,"(Intercept) NA NA periodx1901 - 1913"
"5","1901 - 1913","10 - 19",48.6701307650789,13.8723764195839,"(Intercept) tenureband110 - 19 tenureband110 - 19:periodx1901 - 1913 periodx1901 - 1913"
"6","1901 - 1913","20 plus",24.2412950050392,38.6553407440611,"(Intercept) tenureband120 plus tenureband120 plus:periodx1901 - 1913 periodx1901 - 1913"
"7","1914 - 1918","0 - 9",91.0651696345792,18.3222242738631,"(Intercept) NA NA periodx1914 - 1918"
"8","1914 - 1918","10 - 19",88.6461903505532,23.0765642315417,"(Intercept) tenureband110 - 19 tenureband110 - 19:periodx1914 - 1918 periodx1914 - 1918"
"9","1914 - 1918","20 plus",128.559836862705,29.9915974815716,"(Intercept) tenureband120 plus tenureband120 plus:periodx1914 - 1918 periodx1914 - 1918"
"10","1919 - 1930","0 - 9",145.190232257249,11.9352657378811,"(Intercept) NA NA NA"
"11","1919 - 1930","10 - 19",275.059859239904,14.6565941283071,"(Intercept) tenureband110 - 19 NA NA"
"12","1919 - 1930","20 plus",376.652180191179,14.7663449877575,"(Intercept) tenureband120 plus NA NA"
