"","period","tenureband","slope","se","coef.nms"
"1","1889 - 1900","0 - 9",6.95511356916063,0.369040772726982,"tenure1 NA NA NA"
"2","1889 - 1900","10 - 19",3.35936425779294,0.958314969364697,"tenure1 tenureband110 - 19:tenure1 NA NA"
"3","1889 - 1900","20 plus",4.11675390209442,1.93641526960807,"tenure1 tenureband120 plus:tenure1 NA NA"
"4","1901 - 1913","0 - 9",6.95511356916063,0.369040772726982,"tenure1 NA NA NA"
"5","1901 - 1913","10 - 19",3.35936425779294,0.958314969364697,"tenure1 tenureband110 - 19:tenure1 NA NA"
"6","1901 - 1913","20 plus",4.11675390209442,1.93641526960807,"tenure1 tenureband120 plus:tenure1 NA NA"
"7","1914 - 1918","0 - 9",7.48287030962917,0.426947052822265,"tenure1 NA NA periodx1914 - 1918:tenure1"
"8","1914 - 1918","10 - 19",7.06770559084976,0.610045664384616,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"9","1914 - 1918","20 plus",4.17695237148407,1.32761738547733,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"10","1919 - 1930","0 - 9",16.9640722688172,0.267983936534936,"tenure1 NA NA periodx1919 - 1930:tenure1"
"11","1919 - 1930","10 - 19",7.99084838279528,0.348663203956824,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1919 - 1930:tenure1 periodx1919 - 1930:tenure1"
"12","1919 - 1930","20 plus",2.38204251826251,0.442902904181867,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1919 - 1930:tenure1 periodx1919 - 1930:tenure1"
