"","period","tenureband","slope","se","coef.nms"
"1","1889 - 1900","0 - 9",0.127100777129027,0.00256302024435221,"tenure1 NA NA periodx1889 - 1900:tenure1"
"2","1889 - 1900","10 - 19",0.0494078706600673,0.00908400431758018,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1889 - 1900:tenure1 periodx1889 - 1900:tenure1"
"3","1889 - 1900","20 plus",-0.0132800632176275,0.00384914868686422,"tenure1 tenureband120 plus:tenure1 NA periodx1889 - 1900:tenure1"
"4","1901 - 1913","0 - 9",0.142244879903673,0.00204456014456395,"tenure1 NA NA periodx1901 - 1913:tenure1"
"5","1901 - 1913","10 - 19",0.0298237801980698,0.00260933109529773,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1901 - 1913:tenure1 periodx1901 - 1913:tenure1"
"6","1901 - 1913","20 plus",0.0183944907079858,0.00673621757420886,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1901 - 1913:tenure1 periodx1901 - 1913:tenure1"
"7","1914 - 1918","0 - 9",0.146943820197918,0.00362871571288613,"tenure1 NA NA periodx1914 - 1918:tenure1"
"8","1914 - 1918","10 - 19",0.0194950903739245,0.0039565363031041,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"9","1914 - 1918","20 plus",0.00534916323507569,0.00396821794799368,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"10","1919 - 1930","0 - 9",0.149609824452381,0.00224336094632553,"tenure1 NA NA NA"
"11","1919 - 1930","10 - 19",0.0149095582429792,0.00258508076534628,"tenure1 tenureband110 - 19:tenure1 NA NA"
"12","1919 - 1930","20 plus",0.0092289841057264,0.0015648406588001,"tenure1 tenureband120 plus:tenure1 NA NA"
