"","period","tenureband","slope","se","coef.nms"
"1","1889 - 1900","0 - 9",5.00445503079098,0.590689296640082,"tenure1 NA NA periodx1889 - 1900:tenure1"
"2","1889 - 1900","10 - 19",5.09626160935722,2.26678021929376,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1889 - 1900:tenure1 periodx1889 - 1900:tenure1"
"3","1889 - 1900","20 plus",2.62760999096807,1.84570612364753,"tenure1 tenureband120 plus:tenure1 NA periodx1889 - 1900:tenure1"
"4","1901 - 1913","0 - 9",7.23907395395435,0.456509552387466,"tenure1 NA NA NA"
"5","1901 - 1913","10 - 19",3.85120888612183,0.625524355508349,"tenure1 tenureband110 - 19:tenure1 NA NA"
"6","1901 - 1913","20 plus",4.86222891413144,1.68375469196478,"tenure1 tenureband120 plus:tenure1 NA NA"
"7","1914 - 1918","0 - 9",5.91340236981532,0.858570545277746,"tenure1 NA NA periodx1914 - 1918:tenure1"
"8","1914 - 1918","10 - 19",6.36424884556509,0.976416898095914,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"9","1914 - 1918","20 plus",4.29884680906581,0.980695353778123,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1914 - 1918:tenure1 periodx1914 - 1918:tenure1"
"10","1919 - 1930","0 - 9",29.7324613414334,0.494150352468508,"tenure1 NA NA periodx1919 - 1930:tenure1"
"11","1919 - 1930","10 - 19",14.9655939582562,0.619567628426038,"tenure1 tenureband110 - 19:tenure1 tenureband110 - 19:periodx1919 - 1930:tenure1 periodx1919 - 1930:tenure1"
"12","1919 - 1930","20 plus",8.45118670994446,0.349469756675464,"tenure1 tenureband120 plus:tenure1 tenureband120 plus:periodx1919 - 1930:tenure1 periodx1919 - 1930:tenure1"
