"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",19.5453197249652,11.2973955152765,42.6878253738655,1.73007306848165,0.0908421772538573
"tenureband110 - 19",29.1248111199793,8.49828630973063,11572.5229060875,3.4271393147382,0.000612098050972434
"tenureband120 plus",4.69597542369821,37.0874204377235,11267.6335547663,0.126619089930604,0.899244146241933
"periodx1889 - 1900",4.44229030633293,16.1938236283037,41.5098658276174,0.274320037583259,0.785199292463642
"periodx1914 - 1918",71.5198504285039,21.3560668269356,42.0594215627216,3.34892426625575,0.00171988552351176
"periodx1919 - 1930",125.644912235662,16.331150340001,42.9430285759263,7.69357391364596,1.30437285168079e-09
"tenure1",7.23907395395435,0.456509552387466,12347.7253233278,15.8574424480172,4.46076429021177e-56
"tenureband110 - 19:periodx1889 - 1900",-30.2126420861827,27.0608145381717,11492.0750688829,-1.11647201319698,0.264243486122812
"tenureband110 - 19:periodx1914 - 1918",-31.5437904098232,17.5890544815997,11701.3549115373,-1.79337612734226,0.0729386158741456
"tenureband120 plus:periodx1914 - 1918",32.7986931104102,43.4425322042888,11313.0563487687,0.754990361891755,0.450270481888272
"tenureband110 - 19:periodx1919 - 1930",100.744816060879,12.7472384034173,11935.2565245454,7.90326601516067,2.95505122898394e-15
"tenureband120 plus:periodx1919 - 1930",226.765972529466,38.092836291797,11400.2334918444,5.95298209858682,2.71052240050345e-09
"tenureband110 - 19:tenure1",-3.38786506783251,0.74512062604978,11922.8184632103,-4.54673370913527,5.50215427422858e-06
"tenureband120 plus:tenure1",-2.37684503982291,1.72585102707263,11369.7430260819,-1.3772017413661,0.168476995452373
"periodx1889 - 1900:tenure1",-2.23461892316337,0.705199830226153,13019.6074826613,-3.16877405152911,0.00153437406838622
"periodx1914 - 1918:tenure1",-1.32567158413903,0.946083180790781,13003.9947672201,-1.40122096138626,0.161171871993292
"periodx1919 - 1930:tenure1",22.493387387479,0.67395078359615,13038.2366102334,33.3754154382847,1.954665521572e-234
"tenureband110 - 19:periodx1889 - 1900:tenure1",3.47967164639876,2.41022423876162,11598.8145259966,1.44371282573551,0.148846780285382
"tenureband110 - 19:periodx1914 - 1918:tenure1",3.83871154358228,1.50420603771306,12224.4372274352,2.55198519839643,0.0107231633648985
"tenureband120 plus:periodx1914 - 1918:tenure1",0.762289479073402,2.10000370476952,11725.9522714997,0.362994349649047,0.716615648108516
"tenureband110 - 19:periodx1919 - 1930:tenure1",-11.3790023153447,1.11709058161772,12338.7750670698,-10.1862843556215,2.84820630304348e-24
"tenureband120 plus:periodx1919 - 1930:tenure1",-18.904429591666,1.80902779841462,11732.983962966,-10.4500492519978,1.89393148975096e-25
