"","year","into","out","total.now","total.last","ten.keep","ten.out","per.in","per.out"
"1",1890,46,7,105,66,0.898305084745763,1.14285714285714,0.696969696969697,0.106060606060606
"2",1891,30,6,129,105,1.1010101010101,0.5,0.285714285714286,0.0571428571428571
"3",1892,22,3,148,129,1.65079365079365,1,0.170542635658915,0.0232558139534884
"4",1893,38,8,178,148,2.34285714285714,1.625,0.256756756756757,0.0540540540540541
"5",1894,26,6,198,178,2.67441860465116,3.33333333333333,0.146067415730337,0.0337078651685393
"6",1895,34,10,222,198,3.25531914893617,2,0.171717171717172,0.0505050505050505
"7",1896,36,27,231,222,3.89230769230769,2.07407407407407,0.162162162162162,0.121621621621622
"8",1897,81,31,281,231,4.26,3.35483870967742,0.350649350649351,0.134199134199134
"9",1898,55,29,307,281,3.80555555555556,3.37931034482759,0.195729537366548,0.103202846975089
"10",1899,45,40,312,307,4.00374531835206,3.875,0.146579804560261,0.130293159609121
"11",1900,104,58,358,312,4.56692913385827,3.46551724137931,0.333333333333333,0.185897435897436
"12",1901,44,106,296,358,4.49206349206349,3.88679245283019,0.122905027932961,0.29608938547486
"13",1902,27,27,296,296,4.817843866171,3.25925925925926,0.0912162162162162,0.0912162162162162
"14",1903,42,28,310,296,5.55597014925373,2.85714285714286,0.141891891891892,0.0945945945945946
"15",1904,28,37,301,310,5.93406593406593,4.48648648648649,0.0903225806451613,0.119354838709677
"16",1905,50,25,326,301,6.4963768115942,5.64,0.166112956810631,0.0830564784053156
"17",1906,143,31,438,326,6.60338983050847,5.16129032258065,0.438650306748466,0.0950920245398773
"18",1907,69,29,478,438,5.99266503667482,5.41379310344828,0.157534246575342,0.0662100456621005
"19",1908,50,29,499,478,6.29621380846325,2.96551724137931,0.104602510460251,0.0606694560669456
"20",1909,60,51,508,499,6.796875,4.82352941176471,0.120240480961924,0.102204408817635
"21",1910,42,36,514,508,6.96610169491525,6.47222222222222,0.0826771653543307,0.0708661417322835
"22",1911,64,40,538,514,7.55274261603375,4.925,0.124513618677043,0.0778210116731518
"23",1912,58,37,559,538,7.66666666666667,6.02702702702703,0.107806691449814,0.0687732342007435
"24",1913,69,42,586,559,7.87620889748549,6.45238095238095,0.123434704830054,0.075134168157424
"25",1914,56,87,555,586,8.43086172344689,6.67816091954023,0.0955631399317406,0.148464163822526
"26",1915,40,118,477,555,9.46453089244851,5.15254237288136,0.0720720720720721,0.212612612612613
"27",1916,28,92,413,477,10.4233766233766,6.23913043478261,0.0587002096436059,0.192872117400419
"28",1917,17,100,330,413,11.5654952076677,8.11,0.0411622276029056,0.242130750605327
"29",1918,13,70,273,330,12.7307692307692,9.44285714285714,0.0393939393939394,0.212121212121212
"30",1919,361,58,576,273,14.646511627907,8.60344827586207,1.32234432234432,0.212454212454212
"31",1920,70,19,627,576,9.1705565529623,9.89473684210526,0.121527777777778,0.0329861111111111
"32",1921,112,57,682,627,9.81929824561404,5.24561403508772,0.178628389154705,0.0909090909090909
"33",1922,75,77,680,682,9.66280991735537,5.64935064935065,0.109970674486804,0.112903225806452
"34",1923,51,62,669,680,9.86407766990291,6.09677419354839,0.075,0.0911764705882353
"35",1924,70,41,698,669,10.3359872611465,7.31707317073171,0.104633781763827,0.0612855007473842
"36",1925,88,100,686,698,10.633779264214,7.69,0.126074498567335,0.143266475644699
"37",1926,75,14,747,686,10.6875,7.5,0.10932944606414,0.0204081632653061
"38",1927,53,40,760,747,10.5502121640735,10.125,0.07095046854083,0.0535475234270415
"39",1928,37,74,723,760,10.9825072886297,8.63513513513514,0.0486842105263158,0.0973684210526316
"40",1929,73,48,748,723,11.1822222222222,14.5208333333333,0.100968188105118,0.0663900414937759
"41",1930,44,104,688,748,11.2313664596273,11.2692307692308,0.0588235294117647,0.13903743315508
