"","year","into","out","total.now","total.last","ten.keep","ten.out","per.in","per.out"
"1",1890,46,7,105,66,0.898305084745763,1.14285714285714,0.696969696969697,0.106060606060606
"2",1891,30,6,129,105,1.1010101010101,0.5,0.285714285714286,0.0571428571428571
"3",1892,22,3,148,129,1.65079365079365,1,0.170542635658915,0.0232558139534884
"4",1893,38,8,178,148,2.34285714285714,1.625,0.256756756756757,0.0540540540540541
"5",1894,26,6,198,178,2.67441860465116,3.33333333333333,0.146067415730337,0.0337078651685393
"6",1895,32,10,220,198,3.25531914893617,2,0.161616161616162,0.0505050505050505
"7",1896,36,26,230,220,3.91237113402062,2.15384615384615,0.163636363636364,0.118181818181818
"8",1897,81,31,280,230,4.27638190954774,3.35483870967742,0.352173913043478,0.134782608695652
"9",1898,55,29,306,280,3.81274900398406,3.37931034482759,0.196428571428571,0.103571428571429
"10",1899,45,40,311,306,4.00751879699248,3.875,0.147058823529412,0.130718954248366
"11",1900,92,58,345,311,4.56916996047431,3.46551724137931,0.295819935691318,0.186495176848875
"12",1901,23,106,262,345,4.59832635983264,3.88679245283019,0.0666666666666667,0.307246376811594
"13",1902,15,26,251,262,5.29661016949153,3.38461538461538,0.0572519083969466,0.099236641221374
"14",1903,29,22,258,251,6.19650655021834,3.22727272727273,0.115537848605578,0.0876494023904383
"15",1904,23,36,245,258,6.81981981981982,4.52777777777778,0.0891472868217054,0.13953488372093
"16",1905,33,23,255,245,7.3963963963964,5.82608695652174,0.13469387755102,0.0938775510204082
"17",1906,104,26,333,255,7.65938864628821,5.61538461538461,0.407843137254902,0.101960784313725
"18",1907,61,24,370,333,7.06472491909385,6,0.183183183183183,0.0720720720720721
"19",1908,46,27,389,370,7.15743440233236,3.11111111111111,0.124324324324324,0.072972972972973
"20",1909,50,45,394,389,7.53197674418605,4.93333333333333,0.12853470437018,0.115681233933162
"21",1910,39,30,403,394,7.57142857142857,6.9,0.0989847715736041,0.0761421319796954
"22",1911,47,36,414,403,8.0708446866485,4.86111111111111,0.116625310173697,0.0893300248138958
"23",1912,50,31,433,414,8.24281984334204,5.67741935483871,0.120772946859903,0.0748792270531401
"24",1913,53,34,452,433,8.33082706766917,6.38235294117647,0.122401847575058,0.0785219399538106
"25",1914,37,68,421,452,8.94010416666667,7.04411764705882,0.081858407079646,0.150442477876106
"26",1915,31,109,343,421,10.6282051282051,4.94495412844037,0.0736342042755344,0.258907363420428
"27",1916,22,84,281,343,11.965250965251,6.39285714285714,0.0641399416909621,0.244897959183673
"28",1917,12,87,206,281,13.7061855670103,8.40229885057471,0.0427046263345196,0.309608540925267
"29",1918,12,55,163,206,15.5496688741722,9.50909090909091,0.058252427184466,0.266990291262136
"30",1919,179,31,311,163,17.6818181818182,7.83870967741935,1.09815950920245,0.190184049079755
"31",1920,48,12,347,311,12.8561872909699,11.5,0.154340836012862,0.0385852090032154
"32",1921,51,32,366,347,13.2031746031746,5.875,0.146974063400576,0.0922190201729107
"33",1922,57,33,390,366,12.7717717717718,7,0.155737704918033,0.0901639344262295
"34",1923,37,24,403,390,12.016393442623,8.125,0.0948717948717949,0.0615384615384615
"35",1924,45,21,427,403,12.2565445026178,6.85714285714286,0.11166253101737,0.0521091811414392
"36",1925,59,55,431,427,12.491935483871,7.63636363636364,0.138173302107728,0.128805620608899
"37",1926,51,12,470,431,12.326968973747,6.91666666666667,0.118329466357309,0.0278422273781903
"38",1927,40,21,489,470,11.9198218262806,11.4285714285714,0.0851063829787234,0.0446808510638298
"39",1928,26,40,475,489,12.1425389755011,8.9,0.0531697341513292,0.081799591002045
"40",1929,44,40,479,475,12.0942528735632,16.55,0.0926315789473684,0.0842105263157895
"41",1930,32,81,430,479,12.1683417085427,11.8641975308642,0.0668058455114822,0.169102296450939
