"","year","int","int.se","slope","slope.se","rsq","n"
"1",1901,30.8688659439418,7.02285800915157,1.37444598593019,0.508036536832241,0.104104131023422,34
"2",1902,29.287091578737,3.93961275210343,1.96526574760165,0.293304502694671,0.238690777957509,44
"3",1903,30.8885711264327,2.98669374310367,2.22156523922525,0.204621969224494,0.325412468016964,52
"4",1904,31.1937911131507,3.80665304187075,2.56327847924879,0.20978548827945,0.371439107327879,55
"5",1905,30.2708436425463,3.0130965354864,2.91951835357111,0.156815433073642,0.44423677696742,70
"6",1906,29.0394012253617,1.87219096418436,3.30853683335587,0.107833270016104,0.496363100984319,105
"7",1907,29.9019535472737,2.34101964712196,3.42104529296648,0.105170599787509,0.512153776564298,108
"8",1908,32.561086565147,2.71136644205734,3.40731620188389,0.09171288703146,0.53961952369709,110
"9",1909,33.8145321481977,2.61246164770083,3.28221996206483,0.0720766282279514,0.571645175739806,114
"10",1910,35.8810374589496,3.4419844754286,3.16952886961488,0.0741001312592269,0.554323723526792,111
"11",1911,32.1488546895402,3.16153522333495,3.50794972539842,0.0612069270403643,0.622350600620181,124
"12",1912,30.2526775799926,3.22857896396353,3.47495597936281,0.0538603244358237,0.647599410684162,124
"13",1913,31.4749358336389,3.36229747232975,3.33696506207114,0.0520709785537794,0.620123783530017,133
"14",1914,31.8925833931907,2.37070821362867,3.22589212388178,0.0336769745177824,0.700684199467655,134
"15",1915,27.1230133919562,1.93600450236546,2.83946756964048,0.0247850007945898,0.711349613876839,134
"16",1916,35.7736089259795,1.91729091589446,2.1359692594901,0.0208109860125046,0.627751060869386,132
"17",1917,37.9499024271031,1.53004151557331,1.45617673030087,0.0137559466716993,0.560236556708457,123
"18",1918,37.6203705409756,2.24475271970022,1.09485770311595,0.0176255616227723,0.388606156067096,109
"19",1919,39.6539052877804,0.450523537351382,1.48111033781467,0.00839465176473887,0.498397632461261,265
"20",1920,35.5354953059773,0.598524524498519,1.58577141035339,0.0100974192239311,0.472526764176402,280
"21",1921,35.5402290926885,1.15435460654174,2.35313067991646,0.0183444857761761,0.492532213277746,313
"22",1922,38.1697081609022,1.85099584018898,2.81672828304644,0.0248415435039758,0.52670150491322,289
"23",1923,38.582253243452,2.45763240968972,2.93408604671506,0.027088952190657,0.547176076083013,265
"24",1924,35.6593711887273,2.34608920590087,3.22239213762897,0.024234426331204,0.614322301492552,271
"25",1925,31.1969846322772,2.42889979599502,3.70258854415884,0.0240325872845909,0.693594868516334,254
"26",1926,30.0297476543737,2.25154672841544,3.82166587256373,0.0208602061599798,0.717990117113568,277
"27",1927,32.0706388472278,2.57253118308005,3.79319013079676,0.021455773101343,0.715994726529385,268
"28",1928,34.4761001719373,3.0194065790914,3.5470413738422,0.0219079660642257,0.70526432379577,242
"29",1929,33.7208080071648,2.42444395463312,3.54985320784626,0.016705257226936,0.739302800465406,268
"30",1930,34.8351812907175,2.72985395048378,3.70120856721057,0.0168862364376328,0.760843887755153,257
