"","year","int","int.se","slope","slope.se","rsq","n"
"1",1889,53.9608728956786,16.525496184529,3.99563220814887,3.69722965484377,0.0632060548644602,66
"2",1890,52.4553118248918,9.33040555205253,3.76537910472003,2.28900136206896,0.0567247487143489,105
"3",1891,47.4903448303552,8.61883974860982,6.14562361026146,1.53951146001891,0.164063592772507,127
"4",1892,44.6613923429816,11.8574030966543,6.38355368881365,1.35354249578696,0.172917673559597,146
"5",1893,41.4587516554876,11.3154988870267,6.92206124236339,0.899178036558367,0.232404665853141,178
"6",1894,43.3776557376905,16.0521185654793,6.58870036559728,1.00707207730193,0.180280296436848,198
"7",1895,41.7586341260026,16.3756363085692,6.96326484360949,0.772236079150869,0.224412404761237,219
"8",1896,42.8529810527561,17.0112473734185,6.39710545937608,0.638446815002372,0.220952054176932,228
"9",1897,42.8094228184241,11.2324136496551,6.26565787190922,0.425043185711891,0.250061217165705,279
"10",1898,39.6898061190771,9.17672547615907,6.68003078423121,0.323960654606699,0.316108215197984,300
"11",1899,38.872137511844,10.1993788078061,6.64550319379864,0.304326772075326,0.320970866667836,309
"12",1900,42.4918221479334,5.75691204228539,5.50135520504575,0.155506193702046,0.364036513820012,342
"13",1901,38.997655097433,7.03373906956726,5.96103166041586,0.152222267462103,0.478904131334499,256
"14",1902,37.3042980748776,9.10824909385613,6.14800799762966,0.160006335565362,0.486839346505812,251
"15",1903,35.7460371453631,10.9707026822883,6.08460158872201,0.159823599806329,0.483960189718173,249
"16",1904,35.6125131627163,12.7233462169568,5.96985528115964,0.15343492384589,0.499221417970653,235
"17",1905,34.4048121503525,10.1846794051598,5.86282277919818,0.115374578268498,0.544725316923204,251
"18",1906,46.7239385977684,9.98062468460265,5.02918022884625,0.121566683125489,0.38812340305756,330
"19",1907,41.509904883937,8.0455932833405,5.35871167813397,0.0946691711676837,0.453182725586574,368
"20",1908,43.0373586662897,7.96311900468264,5.22289970738111,0.0852307851673179,0.459154447875761,379
"21",1909,43.6928878608513,7.33039061891151,5.08544443690313,0.0738227638575715,0.476419920139822,387
"22",1910,42.9882734589738,6.91717811895126,5.05840036699184,0.0641791635197645,0.504228758560732,394
"23",1911,44.4081849746939,9.26323108934924,4.91366914284501,0.0792317286910547,0.431792603805331,403
"24",1912,42.7663050298119,7.18608992731904,4.66790754978045,0.0584189934372692,0.470355139748403,422
"25",1913,44.8962362166459,6.67230668519495,4.40872238479446,0.050566631994204,0.463455026127454,447
"26",1914,40.1824149025296,6.01485863293894,4.61691664678818,0.0417774863921914,0.550865086007069,418
"27",1915,35.5051454998036,7.62963292609547,3.94808629680458,0.0410905408599101,0.53178166841306,336
"28",1916,31.0944149573222,8.23288909833315,3.80141128930418,0.0358601340036289,0.595258156372309,276
"29",1917,29.9689725030676,9.98378033152021,3.12006860521522,0.0345627888125899,0.579949875612117,206
"30",1918,29.4548226235896,13.612944498639,2.72615531088377,0.0375809609952311,0.55431930594877,161
"31",1919,52.2804327566624,4.33352029184561,1.86113539244897,0.0168457178486573,0.399557539562967,311
"32",1920,45.2205297337339,4.6503843854912,2.74331576541716,0.017580905956973,0.560981399613305,337
"33",1921,44.2632502495448,6.17378833561028,3.64969765913642,0.022596480771006,0.630812807892858,347
"34",1922,44.0425481622676,5.65789033983866,4.13368472518467,0.0216805750842673,0.675274871855326,381
"35",1923,42.5212332106317,5.91661171843693,4.47824978621139,0.0217006850708886,0.702695854197304,393
"36",1924,41.186377961688,5.54938154439403,4.6047705731428,0.019984029429901,0.720306851131247,414
"37",1925,42.761663082403,6.14114198679722,4.70800752949727,0.021840382304496,0.707785566367043,421
"38",1926,42.8982210965955,5.22969137601882,4.69572538653261,0.0192153831164893,0.710308131070144,470
"39",1927,42.0972111228047,5.59087886981911,4.96520542342647,0.0202228600312704,0.719611666666891,477
"40",1928,43.7393209328383,8.4882803437712,4.98292628661441,0.0292683963970013,0.649402173765955,460
"41",1929,41.7464574717007,8.6614888875735,5.19543664528597,0.0323728150398397,0.63658667038489,478
"42",1930,43.4535679428724,4.23851189231535,5.0763345350685,0.015793415196669,0.792196722295973,430
