"","Group.1","tenure","f.salary","Group.1","x"
"1",1895,1,48.1651376146789,1895,2
"2",1896,2,51.7836593785961,1896,1
"3",1897,3,57.88876276958,1897,1
"4",1898,4,81.447963800905,1898,1
"5",1899,5,87.7390326209224,1899,1
"6",1900,3.53846153846154,41.3379355687048,1900,13
"7",1901,2.35294117647059,32.7284105131414,1901,34
"8",1902,2.75,32.7263066370399,1902,44
"9",1903,3.09615384615385,35.5453136471164,1903,52
"10",1904,3.8,38.3709708550473,1904,55
"11",1905,3.92857142857143,38.8208616780045,1905,70
"12",1906,3.66666666666667,37.8936759889141,1906,105
"13",1907,4.4537037037037,41.7489066914354,1907,108
"14",1908,5.33636363636364,47.3674242424242,1908,110
"15",1909,5.8859649122807,49.8801351204097,1909,114
"16",1910,6.75675675675676,54.1557985089813,1910,111
"17",1911,6.88709677419355,52.8287841191067,1911,124
"18",1912,7.38709677419355,52.4755815447886,1912,124
"19",1913,7.54887218045113,53.3533834586466,1913,133
"20",1914,7.63432835820895,53.2942109911825,1914,134
"21",1915,8.09701492537313,47.2747571138076,1915,134
"22",1916,8.88636363636364,52.6186392224128,1916,132
"23",1917,9.85365853658537,50.8423939661083,1917,123
"24",1918,10.6880733944954,48.2274323252917,1918,109
"25",1919,5.95849056603774,46.9979769250954,1919,265
"26",1920,6.53214285714286,44.3082092868251,1920,280
"27",1921,6.71246006389776,48.9823941268439,1921,313
"28",1922,7.48442906574394,56.4345829097916,1922,289
"29",1923,8.41132075471698,60.3277060575968,1923,265
"30",1924,8.60516605166052,60.1661984789609,1924,271
"31",1925,8.97244094488189,60.7156531437799,1925,254
"32",1926,9.20216606498195,61.3756857860155,1926,277
"33",1927,9.79477611940299,65.4308968259141,1927,268
"34",1928,10.5247933884298,68.2609363979963,1928,242
"35",1929,10.6940298507463,68.1464366907186,1929,268
"36",1930,11.2918287937743,72.9273861944995,1930,257
