"","Group.1","tenure","f.salary","Group.1","x"
"1",1889,1.92424242424242,57.6538056941192,1889,66
"2",1890,2.06666666666667,56.4717162032598,1890,105
"3",1891,2.59842519685039,57.3136644593558,1891,127
"4",1892,3.26712328767123,59.1336955689906,1892,146
"5",1893,3.67415730337079,60.1249842191642,1893,178
"6",1894,4.17171717171717,64.4082548844454,1894,198
"7",1895,4.68949771689498,67.576766788153,1895,219
"8",1896,5.1359649122807,69.4234146932348,1896,228
"9",1897,4.73835125448029,66.3224830044061,1897,279
"10",1898,4.92,65.920060331825,1898,300
"11",1899,5.35598705501618,67.8628763637555,1899,309
"12",1900,5.35964912280702,66.5079722097266,1900,342
"13",1901,6.10546875,69.4315159574468,1901,256
"14",1902,6.93625498007968,73.8004411683765,1902,251
"15",1903,7.54618473895582,75.5769632080815,1903,249
"16",1904,8.36595744680851,79.5862131273434,1904,235
"17",1905,8.47808764940239,78.2942304854655,1905,251
"18",1906,7.90909090909091,81.5776815776816,1906,330
"19",1907,7.8695652173913,78.4238562536913,1907,368
"20",1908,8.21372031662269,80.7690193491645,1908,379
"21",1909,8.44186046511628,81.5906184965841,1909,387
"22",1910,8.83248730964467,82.6723230385974,1910,394
"23",1911,9.12655086848635,84.4003308519438,1911,403
"24",1912,9.20616113744076,81.1493363040728,1912,422
"25",1913,9.68903803131991,83.3221476510067,1913,447
"26",1914,10.133971291866,82.4746968177259,1914,418
"27",1915,11.6220238095238,77.5240639443667,1915,336
"28",1916,13.1449275362319,77.3311457478808,1916,276
"29",1917,14.9126213592233,73.4530354427419,1917,206
"30",1918,16.9006211180124,72.8870485392225,1918,161
"31",1919,13.7717041800643,76.1101470098194,1919,311
"32",1920,13.700296735905,80.1509984263306,1920,337
"33",1921,13.5417867435158,90.1526764363235,1921,347
"34",1922,12.8162729658793,93.0174900244294,1922,381
"35",1923,13.1119592875318,96.8983527521093,1923,393
"36",1924,13.0990338164251,97.022001819603,1924,414
"37",1925,13.3444180522565,101.069385787388,1925,421
"38",1926,12.863829787234,98.767362291256,1926,470
"39",1927,13.0251572327044,101.981544038889,1927,477
"40",1928,13.6152173913043,106.816668252307,1928,460
"41",1929,13.0774058577406,104.732974960052,1929,478
"42",1930,13.3162790697674,106.211229311301,1930,430
